# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
( 15/4|  9/4), 3.75000, 2.25000,  5.34830,  6.79326,   96,                  3+5+8+12,
(  9/4| 15/4), 2.25000, 3.75000,  3.20898,  8.02839,   96,                  3+5+8+12,
(  6  | -9/4), 6.00000,-2.25000,  8.55728,  1.23514,   96,                  1+2+4+11,
( -9/4|  6  ),-2.25000, 6.00000, -3.20898,  8.02839,   96,                  6+7+9+10,
(  6  |-15/4), 6.00000,-3.75000,  8.55728, -1.23514,   96,                  1+2+4+11,
(-15/4|  6  ),-3.75000, 6.00000, -5.34830,  6.79326,   96,                  6+7+9+10,
( 15/4| -6  ), 3.75000,-6.00000,  5.34830, -6.79326,   96,                  6+7+9+10,
( -6  | 15/4),-6.00000, 3.75000, -8.55728,  1.23514,   96,                  1+2+4+11,
(  9/4| -6  ), 2.25000,-6.00000,  3.20898, -8.02839,   96,                  6+7+9+10,
( -6  |  9/4),-6.00000, 2.25000, -8.55728, -1.23514,   96,                  1+2+4+11,
( -9/4|-15/4),-2.25000,-3.75000, -3.20898, -8.02839,   96,                  3+5+8+12,
(-15/4| -9/4),-3.75000,-2.25000, -5.34830, -6.79326,   96,                  3+5+8+12,
( 21/4|  0  ), 5.25000, 0.00000,  7.48762,  4.32298,   97,                  6+7+9+10,
(  0  | 21/4), 0.00000, 5.25000,  0.00000,  8.64596,   97,                  1+2+4+11,
( 21/4|-21/4), 5.25000,-5.25000,  7.48762, -4.32298,   97,                  3+5+8+12,
(-21/4| 21/4),-5.25000, 5.25000, -7.48762,  4.32298,   97,                  3+5+8+12,
(  0  |-21/4), 0.00000,-5.25000,  0.00000, -8.64596,   97,                  1+2+4+11,
(-21/4|  0  ),-5.25000, 0.00000, -7.48762, -4.32298,   97,                  6+7+9+10,
(  5  |  1/2), 5.00000, 0.50000,  7.13107,  4.94055,   98,                  1+2+4+11,
(  1/2|  5  ), 0.50000, 5.00000,  0.71311,  8.64596,   98,                  6+7+9+10,
( 11/2| -1/2), 5.50000,-0.50000,  7.84418,  3.70541,   98,                  3+5+8+12,
( -1/2| 11/2),-0.50000, 5.50000, -0.71311,  8.64596,   98,                  3+5+8+12,
( 11/2| -5  ), 5.50000,-5.00000,  7.84418, -3.70541,   98,                  6+7+9+10,
( -5  | 11/2),-5.00000, 5.50000, -7.13107,  4.94055,   98,                  1+2+4+11,
(  5  |-11/2), 5.00000,-5.50000,  7.13107, -4.94055,   98,                  1+2+4+11,
(-11/2|  5  ),-5.50000, 5.00000, -7.84418,  3.70541,   98,                  6+7+9+10,
(  1/2|-11/2), 0.50000,-5.50000,  0.71311, -8.64596,   98,                  3+5+8+12,
(-11/2|  1/2),-5.50000, 0.50000, -7.84418, -3.70541,   98,                  3+5+8+12,
( -1/2| -5  ),-0.50000,-5.00000, -0.71311, -8.64596,   98,                  6+7+9+10,
( -5  | -1/2),-5.00000,-0.50000, -7.13107, -4.94055,   98,                  1+2+4+11,
(  4  |  2  ), 4.00000, 2.00000,  5.70486,  6.58740,   99,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  |  4  ), 2.00000, 4.00000,  2.85243,  8.23425,   99,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -2  ), 6.00000,-2.00000,  8.55728,  1.64685,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  |  6  ),-2.00000, 6.00000, -2.85243,  8.23425,   99,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -4  ), 6.00000,-4.00000,  8.55728, -1.64685,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  6  ),-4.00000, 6.00000, -5.70486,  6.58740,   99,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -6  ), 4.00000,-6.00000,  5.70486, -6.58740,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  4  ),-6.00000, 4.00000, -8.55728,  1.64685,   99,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  | -6  ), 2.00000,-6.00000,  2.85243, -8.23425,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  2  ),-6.00000, 2.00000, -8.55728, -1.64685,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  | -4  ),-2.00000,-4.00000, -2.85243, -8.23425,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  | -2  ),-4.00000,-2.00000, -5.70486, -6.58740,   99,1+2+3+4+5+6+7+8+9+10+11+12,
( 19/4|  1  ), 4.75000, 1.00000,  6.77452,  5.55812,  100,                  6+7+9+10,
(  1  | 19/4), 1.00000, 4.75000,  1.42621,  8.64596,  100,                  1+2+4+11,
( 23/4| -1  ), 5.75000,-1.00000,  8.20073,  3.08784,  100,                  6+7+9+10,
( -1  | 23/4),-1.00000, 5.75000, -1.42621,  8.64596,  100,                  1+2+4+11,
( 23/4|-19/4), 5.75000,-4.75000,  8.20073, -3.08784,  100,                  3+5+8+12,
(-19/4| 23/4),-4.75000, 5.75000, -6.77452,  5.55812,  100,                  3+5+8+12,
( 19/4|-23/4), 4.75000,-5.75000,  6.77452, -5.55812,  100,                  3+5+8+12,
(-23/4| 19/4),-5.75000, 4.75000, -8.20073,  3.08784,  100,                  3+5+8+12,
(  1  |-23/4), 1.00000,-5.75000,  1.42621, -8.64596,  100,                  1+2+4+11,
(-23/4|  1  ),-5.75000, 1.00000, -8.20073, -3.08784,  100,                  6+7+9+10,
( -1  |-19/4),-1.00000,-4.75000, -1.42621, -8.64596,  100,                  1+2+4+11,
(-19/4| -1  ),-4.75000,-1.00000, -6.77452, -5.55812,  100,                  6+7+9+10,
( 17/4|  7/4), 4.25000, 1.75000,  6.06141,  6.38154,  101,                  3+5+8+12,
(  7/4| 17/4), 1.75000, 4.25000,  2.49587,  8.44011,  101,                  3+5+8+12,
(  6  | -7/4), 6.00000,-1.75000,  8.55728,  2.05856,  101,                  1+2+4+11,
( -7/4|  6  ),-1.75000, 6.00000, -2.49587,  8.44011,  101,                  6+7+9+10,
(  6  |-17/4), 6.00000,-4.25000,  8.55728, -2.05856,  101,                  1+2+4+11,
(-17/4|  6  ),-4.25000, 6.00000, -6.06141,  6.38154,  101,                  6+7+9+10,
( 17/4| -6  ), 4.25000,-6.00000,  6.06141, -6.38154,  101,                  6+7+9+10,
( -6  | 17/4),-6.00000, 4.25000, -8.55728,  2.05856,  101,                  1+2+4+11,
(  7/4| -6  ), 1.75000,-6.00000,  2.49587, -8.44011,  101,                  6+7+9+10,
( -6  |  7/4),-6.00000, 1.75000, -8.55728, -2.05856,  101,                  1+2+4+11,
( -7/4|-17/4),-1.75000,-4.25000, -2.49587, -8.44011,  101,                  3+5+8+12,
(-17/4| -7/4),-4.25000,-1.75000, -6.06141, -6.38154,  101,                  3+5+8+12,
(  9/2|  3/2), 4.50000, 1.50000,  6.41796,  6.17569,  102,                  3+5+8+12,
(  3/2|  9/2), 1.50000, 4.50000,  2.13932,  8.64596,  102,                  3+5+8+12,
(  6  | -3/2), 6.00000,-1.50000,  8.55728,  2.47027,  102,                  1+2+4+11,
( -3/2|  6  ),-1.50000, 6.00000, -2.13932,  8.64596,  102,                  6+7+9+10,
(  6  | -9/2), 6.00000,-4.50000,  8.55728, -2.47027,  102,                  1+2+4+11,
( -9/2|  6  ),-4.50000, 6.00000, -6.41796,  6.17569,  102,                  6+7+9+10,
(  9/2| -6  ), 4.50000,-6.00000,  6.41796, -6.17569,  102,                  6+7+9+10,
( -6  |  9/2),-6.00000, 4.50000, -8.55728,  2.47027,  102,                  1+2+4+11,
(  3/2| -6  ), 1.50000,-6.00000,  2.13932, -8.64596,  102,                  6+7+9+10,
( -6  |  3/2),-6.00000, 1.50000, -8.55728, -2.47027,  102,                  1+2+4+11,
( -3/2| -9/2),-1.50000,-4.50000, -2.13932, -8.64596,  102,                  3+5+8+12,
( -9/2| -3/2),-4.50000,-1.50000, -6.41796, -6.17569,  102,                  3+5+8+12,
(  5  |  3/4), 5.00000, 0.75000,  7.13107,  5.35226,  103,                  1+2+4+11,
(  3/4|  5  ), 0.75000, 5.00000,  1.06966,  8.85182,  103,                  6+7+9+10,
( 23/4| -3/4), 5.75000,-0.75000,  8.20073,  3.49956,  103,                  3+5+8+12,
( -3/4| 23/4),-0.75000, 5.75000, -1.06966,  8.85182,  103,                  3+5+8+12,
( 23/4| -5  ), 5.75000,-5.00000,  8.20073, -3.49956,  103,                  6+7+9+10,
( -5  | 23/4),-5.00000, 5.75000, -7.13107,  5.35226,  103,                  1+2+4+11,
(  5  |-23/4), 5.00000,-5.75000,  7.13107, -5.35226,  103,                  1+2+4+11,
(-23/4|  5  ),-5.75000, 5.00000, -8.20073,  3.49956,  103,                  6+7+9+10,
(  3/4|-23/4), 0.75000,-5.75000,  1.06966, -8.85182,  103,                  3+5+8+12,
(-23/4|  3/4),-5.75000, 0.75000, -8.20073, -3.49956,  103,                  3+5+8+12,
( -3/4| -5  ),-0.75000,-5.00000, -1.06966, -8.85182,  103,                  6+7+9+10,
( -5  | -3/4),-5.00000,-0.75000, -7.13107, -5.35226,  103,                  1+2+4+11,
( 13/4|  3  ), 3.25000, 3.00000,  4.63520,  7.61668,  104,                  6+7+9+10,
(  3  | 13/4), 3.00000, 3.25000,  4.27864,  7.82254,  104,                  1+2+4+11,
( 25/4| -3  ), 6.25000,-3.00000,  8.91384,  0.20586,  104,                  6+7+9+10,
( -3  | 25/4),-3.00000, 6.25000, -4.27864,  7.82254,  104,                  1+2+4+11,
( 25/4|-13/4), 6.25000,-3.25000,  8.91384, -0.20586,  104,                  3+5+8+12,
(-13/4| 25/4),-3.25000, 6.25000, -4.63520,  7.61668,  104,                  3+5+8+12,
( 13/4|-25/4), 3.25000,-6.25000,  4.63520, -7.61668,  104,                  3+5+8+12,
(-25/4| 13/4),-6.25000, 3.25000, -8.91384,  0.20586,  104,                  3+5+8+12,
(  3  |-25/4), 3.00000,-6.25000,  4.27864, -7.82254,  104,                  1+2+4+11,
(-25/4|  3  ),-6.25000, 3.00000, -8.91384, -0.20586,  104,                  6+7+9+10,
( -3  |-13/4),-3.00000,-3.25000, -4.27864, -7.82254,  104,                  1+2+4+11,
(-13/4| -3  ),-3.25000,-3.00000, -4.63520, -7.61668,  104,                  6+7+9+10,
( 19/4|  5/4), 4.75000, 1.25000,  6.77452,  5.96983,  105,                  3+5+8+12,
(  5/4| 19/4), 1.25000, 4.75000,  1.78277,  8.85182,  105,                  3+5+8+12,
(  6  | -5/4), 6.00000,-1.25000,  8.55728,  2.88199,  105,                  1+2+4+11,
( -5/4|  6  ),-1.25000, 6.00000, -1.78277,  8.85182,  105,                  6+7+9+10,
(  6  |-19/4), 6.00000,-4.75000,  8.55728, -2.88199,  105,                  1+2+4+11,
(-19/4|  6  ),-4.75000, 6.00000, -6.77452,  5.96983,  105,                  6+7+9+10,
( 19/4| -6  ), 4.75000,-6.00000,  6.77452, -5.96983,  105,                  6+7+9+10,
( -6  | 19/4),-6.00000, 4.75000, -8.55728,  2.88199,  105,                  1+2+4+11,
(  5/4| -6  ), 1.25000,-6.00000,  1.78277, -8.85182,  105,                  6+7+9+10,
( -6  |  5/4),-6.00000, 1.25000, -8.55728, -2.88199,  105,                  1+2+4+11,
( -5/4|-19/4),-1.25000,-4.75000, -1.78277, -8.85182,  105,                  3+5+8+12,
(-19/4| -5/4),-4.75000,-1.25000, -6.77452, -5.96983,  105,                  3+5+8+12,
(  4  |  9/4), 4.00000, 2.25000,  5.70486,  6.99911,  106,                  1+2+4+11,
(  9/4|  4  ), 2.25000, 4.00000,  3.20898,  8.44011,  106,                  6+7+9+10,
( 25/4| -9/4), 6.25000,-2.25000,  8.91384,  1.44099,  106,                  3+5+8+12,
( -9/4| 25/4),-2.25000, 6.25000, -3.20898,  8.44011,  106,                  3+5+8+12,
( 25/4| -4  ), 6.25000,-4.00000,  8.91384, -1.44099,  106,                  6+7+9+10,
( -4  | 25/4),-4.00000, 6.25000, -5.70486,  6.99911,  106,                  1+2+4+11,
(  4  |-25/4), 4.00000,-6.25000,  5.70486, -6.99911,  106,                  1+2+4+11,
(-25/4|  4  ),-6.25000, 4.00000, -8.91384,  1.44099,  106,                  6+7+9+10,
(  9/4|-25/4), 2.25000,-6.25000,  3.20898, -8.44011,  106,                  3+5+8+12,
(-25/4|  9/4),-6.25000, 2.25000, -8.91384, -1.44099,  106,                  3+5+8+12,
( -9/4| -4  ),-2.25000,-4.00000, -3.20898, -8.44011,  106,                  6+7+9+10,
( -4  | -9/4),-4.00000,-2.25000, -5.70486, -6.99911,  106,                  1+2+4+11,
( 11/2|  0  ), 5.50000, 0.00000,  7.84418,  4.52884,  107,                  6+7+9+10,
(  0  | 11/2), 0.00000, 5.50000,  0.00000,  9.05767,  107,                  1+2+4+11,
( 11/2|-11/2), 5.50000,-5.50000,  7.84418, -4.52884,  107,                  3+5+8+12,
(-11/2| 11/2),-5.50000, 5.50000, -7.84418,  4.52884,  107,                  3+5+8+12,
(  0  |-11/2), 0.00000,-5.50000,  0.00000, -9.05767,  107,                  1+2+4+11,
(-11/2|  0  ),-5.50000, 0.00000, -7.84418, -4.52884,  107,                  6+7+9+10,
( 17/4|  2  ), 4.25000, 2.00000,  6.06141,  6.79326,  108,                  6+7+9+10,
(  2  | 17/4), 2.00000, 4.25000,  2.85243,  8.64596,  108,                  1+2+4+11,
( 25/4| -2  ), 6.25000,-2.00000,  8.91384,  1.85271,  108,                  6+7+9+10,
( -2  | 25/4),-2.00000, 6.25000, -2.85243,  8.64596,  108,                  1+2+4+11,
( 25/4|-17/4), 6.25000,-4.25000,  8.91384, -1.85271,  108,                  3+5+8+12,
(-17/4| 25/4),-4.25000, 6.25000, -6.06141,  6.79326,  108,                  3+5+8+12,
( 17/4|-25/4), 4.25000,-6.25000,  6.06141, -6.79326,  108,                  3+5+8+12,
(-25/4| 17/4),-6.25000, 4.25000, -8.91384,  1.85271,  108,                  3+5+8+12,
(  2  |-25/4), 2.00000,-6.25000,  2.85243, -8.64596,  108,                  1+2+4+11,
(-25/4|  2  ),-6.25000, 2.00000, -8.91384, -1.85271,  108,                  6+7+9+10,
( -2  |-17/4),-2.00000,-4.25000, -2.85243, -8.64596,  108,                  1+2+4+11,
(-17/4| -2  ),-4.25000,-2.00000, -6.06141, -6.79326,  108,                  6+7+9+10,
(  5  |  1  ), 5.00000, 1.00000,  7.13107,  5.76397,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  5  ), 1.00000, 5.00000,  1.42621,  9.05767,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -1  ), 6.00000,-1.00000,  8.55728,  3.29370,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  6  ),-1.00000, 6.00000, -1.42621,  9.05767,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -5  ), 6.00000,-5.00000,  8.55728, -3.29370,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  6  ),-5.00000, 6.00000, -7.13107,  5.76397,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -6  ), 5.00000,-6.00000,  7.13107, -5.76397,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  5  ),-6.00000, 5.00000, -8.55728,  3.29370,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -6  ), 1.00000,-6.00000,  1.42621, -9.05767,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  1  ),-6.00000, 1.00000, -8.55728, -3.29370,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  | -5  ),-1.00000,-5.00000, -1.42621, -9.05767,  109,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  | -1  ),-5.00000,-1.00000, -7.13107, -5.76397,  109,1+2+3+4+5+6+7+8+9+10+11+12,
(  7/2|  3  ), 3.50000, 3.00000,  4.99175,  7.82254,  110,                  6+7+9+10,
(  3  |  7/2), 3.00000, 3.50000,  4.27864,  8.23425,  110,                  1+2+4+11,
( 13/2| -3  ), 6.50000,-3.00000,  9.27039,  0.41171,  110,                  6+7+9+10,
( -3  | 13/2),-3.00000, 6.50000, -4.27864,  8.23425,  110,                  1+2+4+11,
( 13/2| -7/2), 6.50000,-3.50000,  9.27039, -0.41171,  110,                  3+5+8+12,
( -7/2| 13/2),-3.50000, 6.50000, -4.99175,  7.82254,  110,                  3+5+8+12,
(  7/2|-13/2), 3.50000,-6.50000,  4.99175, -7.82254,  110,                  3+5+8+12,
(-13/2|  7/2),-6.50000, 3.50000, -9.27039,  0.41171,  110,                  3+5+8+12,
(  3  |-13/2), 3.00000,-6.50000,  4.27864, -8.23425,  110,                  1+2+4+11,
(-13/2|  3  ),-6.50000, 3.00000, -9.27039, -0.41171,  110,                  6+7+9+10,
( -3  | -7/2),-3.00000,-3.50000, -4.27864, -8.23425,  110,                  1+2+4+11,
( -7/2| -3  ),-3.50000,-3.00000, -4.99175, -7.82254,  110,                  6+7+9+10,
( 21/4|  3/4), 5.25000, 0.75000,  7.48762,  5.55812,  111,                  3+5+8+12,
(  3/4| 21/4), 0.75000, 5.25000,  1.06966,  9.26353,  111,                  3+5+8+12,
(  6  | -3/4), 6.00000,-0.75000,  8.55728,  3.70541,  111,                  1+2+4+11,
( -3/4|  6  ),-0.75000, 6.00000, -1.06966,  9.26353,  111,                  6+7+9+10,
(  6  |-21/4), 6.00000,-5.25000,  8.55728, -3.70541,  111,                  1+2+4+11,
(-21/4|  6  ),-5.25000, 6.00000, -7.48762,  5.55812,  111,                  6+7+9+10,
( 21/4| -6  ), 5.25000,-6.00000,  7.48762, -5.55812,  111,                  6+7+9+10,
( -6  | 21/4),-6.00000, 5.25000, -8.55728,  3.70541,  111,                  1+2+4+11,
(  3/4| -6  ), 0.75000,-6.00000,  1.06966, -9.26353,  111,                  6+7+9+10,
( -6  |  3/4),-6.00000, 0.75000, -8.55728, -3.70541,  111,                  1+2+4+11,
( -3/4|-21/4),-0.75000,-5.25000, -1.06966, -9.26353,  111,                  3+5+8+12,
(-21/4| -3/4),-5.25000,-0.75000, -7.48762, -5.55812,  111,                  3+5+8+12,
(  4  |  5/2), 4.00000, 2.50000,  5.70486,  7.41082,  112,                  1+2+4+11,
(  5/2|  4  ), 2.50000, 4.00000,  3.56553,  8.64596,  112,                  6+7+9+10,
( 13/2| -5/2), 6.50000,-2.50000,  9.27039,  1.23514,  112,                  3+5+8+12,
( -5/2| 13/2),-2.50000, 6.50000, -3.56553,  8.64596,  112,                  3+5+8+12,
( 13/2| -4  ), 6.50000,-4.00000,  9.27039, -1.23514,  112,                  6+7+9+10,
( -4  | 13/2),-4.00000, 6.50000, -5.70486,  7.41082,  112,                  1+2+4+11,
(  4  |-13/2), 4.00000,-6.50000,  5.70486, -7.41082,  112,                  1+2+4+11,
(-13/2|  4  ),-6.50000, 4.00000, -9.27039,  1.23514,  112,                  6+7+9+10,
(  5/2|-13/2), 2.50000,-6.50000,  3.56553, -8.64596,  112,                  3+5+8+12,
(-13/2|  5/2),-6.50000, 2.50000, -9.27039, -1.23514,  112,                  3+5+8+12,
( -5/2| -4  ),-2.50000,-4.00000, -3.56553, -8.64596,  112,                  6+7+9+10,
( -4  | -5/2),-4.00000,-2.50000, -5.70486, -7.41082,  112,                  1+2+4+11,
(  5  |  5/4), 5.00000, 1.25000,  7.13107,  6.17569,  113,                  1+2+4+11,
(  5/4|  5  ), 1.25000, 5.00000,  1.78277,  9.26353,  113,                  6+7+9+10,
( 25/4| -5/4), 6.25000,-1.25000,  8.91384,  3.08784,  113,                  3+5+8+12,
( -5/4| 25/4),-1.25000, 6.25000, -1.78277,  9.26353,  113,                  3+5+8+12,
( 25/4| -5  ), 6.25000,-5.00000,  8.91384, -3.08784,  113,                  6+7+9+10,
( -5  | 25/4),-5.00000, 6.25000, -7.13107,  6.17569,  113,                  1+2+4+11,
(  5  |-25/4), 5.00000,-6.25000,  7.13107, -6.17569,  113,                  1+2+4+11,
(-25/4|  5  ),-6.25000, 5.00000, -8.91384,  3.08784,  113,                  6+7+9+10,
(  5/4|-25/4), 1.25000,-6.25000,  1.78277, -9.26353,  113,                  3+5+8+12,
(-25/4|  5/4),-6.25000, 1.25000, -8.91384, -3.08784,  113,                  3+5+8+12,
( -5/4| -5  ),-1.25000,-5.00000, -1.78277, -9.26353,  113,                  6+7+9+10,
( -5  | -5/4),-5.00000,-1.25000, -7.13107, -6.17569,  113,                  1+2+4+11,
( 23/4|  0  ), 5.75000, 0.00000,  8.20073,  4.73469,  114,                  6+7+9+10,
(  0  | 23/4), 0.00000, 5.75000,  0.00000,  9.46939,  114,                  1+2+4+11,
( 23/4|-23/4), 5.75000,-5.75000,  8.20073, -4.73469,  114,                  3+5+8+12,
(-23/4| 23/4),-5.75000, 5.75000, -8.20073,  4.73469,  114,                  3+5+8+12,
(  0  |-23/4), 0.00000,-5.75000,  0.00000, -9.46939,  114,                  1+2+4+11,
(-23/4|  0  ),-5.75000, 0.00000, -8.20073, -4.73469,  114,                  6+7+9+10,
( 11/2|  1/2), 5.50000, 0.50000,  7.84418,  5.35226,  115,                  3+5+8+12,
(  1/2| 11/2), 0.50000, 5.50000,  0.71311,  9.46939,  115,                  3+5+8+12,
(  6  | -1/2), 6.00000,-0.50000,  8.55728,  4.11712,  115,                  1+2+4+11,
( -1/2|  6  ),-0.50000, 6.00000, -0.71311,  9.46939,  115,                  6+7+9+10,
(  6  |-11/2), 6.00000,-5.50000,  8.55728, -4.11712,  115,                  1+2+4+11,
(-11/2|  6  ),-5.50000, 6.00000, -7.84418,  5.35226,  115,                  6+7+9+10,
( 11/2| -6  ), 5.50000,-6.00000,  7.84418, -5.35226,  115,                  6+7+9+10,
( -6  | 11/2),-6.00000, 5.50000, -8.55728,  4.11712,  115,                  1+2+4+11,
(  1/2| -6  ), 0.50000,-6.00000,  0.71311, -9.46939,  115,                  6+7+9+10,
( -6  |  1/2),-6.00000, 0.50000, -8.55728, -4.11712,  115,                  1+2+4+11,
( -1/2|-11/2),-0.50000,-5.50000, -0.71311, -9.46939,  115,                  3+5+8+12,
(-11/2| -1/2),-5.50000,-0.50000, -7.84418, -5.35226,  115,                  3+5+8+12,
(  9/2|  2  ), 4.50000, 2.00000,  6.41796,  6.99911,  116,                  6+7+9+10,
(  2  |  9/2), 2.00000, 4.50000,  2.85243,  9.05767,  116,                  1+2+4+11,
( 13/2| -2  ), 6.50000,-2.00000,  9.27039,  2.05856,  116,                  6+7+9+10,
( -2  | 13/2),-2.00000, 6.50000, -2.85243,  9.05767,  116,                  1+2+4+11,
( 13/2| -9/2), 6.50000,-4.50000,  9.27039, -2.05856,  116,                  3+5+8+12,
( -9/2| 13/2),-4.50000, 6.50000, -6.41796,  6.99911,  116,                  3+5+8+12,
(  9/2|-13/2), 4.50000,-6.50000,  6.41796, -6.99911,  116,                  3+5+8+12,
(-13/2|  9/2),-6.50000, 4.50000, -9.27039,  2.05856,  116,                  3+5+8+12,
(  2  |-13/2), 2.00000,-6.50000,  2.85243, -9.05767,  116,                  1+2+4+11,
(-13/2|  2  ),-6.50000, 2.00000, -9.27039, -2.05856,  116,                  6+7+9+10,
( -2  | -9/2),-2.00000,-4.50000, -2.85243, -9.05767,  116,                  1+2+4+11,
( -9/2| -2  ),-4.50000,-2.00000, -6.41796, -6.99911,  116,                  6+7+9+10,
( 21/4|  1  ), 5.25000, 1.00000,  7.48762,  5.96983,  117,                  6+7+9+10,
(  1  | 21/4), 1.00000, 5.25000,  1.42621,  9.46939,  117,                  1+2+4+11,
( 25/4| -1  ), 6.25000,-1.00000,  8.91384,  3.49956,  117,                  6+7+9+10,
( -1  | 25/4),-1.00000, 6.25000, -1.42621,  9.46939,  117,                  1+2+4+11,
( 25/4|-21/4), 6.25000,-5.25000,  8.91384, -3.49956,  117,                  3+5+8+12,
(-21/4| 25/4),-5.25000, 6.25000, -7.48762,  5.96983,  117,                  3+5+8+12,
( 21/4|-25/4), 5.25000,-6.25000,  7.48762, -5.96983,  117,                  3+5+8+12,
(-25/4| 21/4),-6.25000, 5.25000, -8.91384,  3.49956,  117,                  3+5+8+12,
(  1  |-25/4), 1.00000,-6.25000,  1.42621, -9.46939,  117,                  1+2+4+11,
(-25/4|  1  ),-6.25000, 1.00000, -8.91384, -3.49956,  117,                  6+7+9+10,
( -1  |-21/4),-1.00000,-5.25000, -1.42621, -9.46939,  117,                  1+2+4+11,
(-21/4| -1  ),-5.25000,-1.00000, -7.48762, -5.96983,  117,                  6+7+9+10,
( 15/4|  3  ), 3.75000, 3.00000,  5.34830,  8.02839,  118,                  6+7+9+10,
(  3  | 15/4), 3.00000, 3.75000,  4.27864,  8.64596,  118,                  1+2+4+11,
( 27/4| -3  ), 6.75000,-3.00000,  9.62694,  0.61757,  118,                  6+7+9+10,
( -3  | 27/4),-3.00000, 6.75000, -4.27864,  8.64596,  118,                  1+2+4+11,
( 27/4|-15/4), 6.75000,-3.75000,  9.62694, -0.61757,  118,                  3+5+8+12,
(-15/4| 27/4),-3.75000, 6.75000, -5.34830,  8.02839,  118,                  3+5+8+12,
( 15/4|-27/4), 3.75000,-6.75000,  5.34830, -8.02839,  118,                  3+5+8+12,
