# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( 31/12| 11/6 ), 2.58333, 1.83333,  6.38159,  8.91390,  273,        4+5,
( 53/12|-11/6 ), 4.41667,-1.83333, 10.91045,  1.06967,  273,        4+5,
(-31/12| 53/12),-2.58333, 4.41667, -6.38159,  8.91390,  273,        3+6,
(-53/12| 31/12),-4.41667, 2.58333,-10.91045,  1.06967,  273,        3+6,
( 11/6 |-53/12), 1.83333,-4.41667,  4.52887, -9.98356,  273,        1+2,
(-11/6 |-31/12),-1.83333,-2.58333, -4.52887, -9.98356,  273,        1+2,
( 11/6 | 31/12), 1.83333, 2.58333,  4.52887,  9.98356,  274,        1+2,
(-11/6 | 53/12),-1.83333, 4.41667, -4.52887,  9.98356,  274,        1+2,
( 53/12|-31/12), 4.41667,-2.58333, 10.91045, -1.06967,  274,        3+6,
( 31/12|-53/12), 2.58333,-4.41667,  6.38159, -8.91390,  274,        3+6,
(-53/12| 11/6 ),-4.41667, 1.83333,-10.91045, -1.06967,  274,        4+5,
(-31/12|-11/6 ),-2.58333,-1.83333, -6.38159, -8.91390,  274,        4+5,
(  1/12| 23/6 ), 0.08333, 3.83333,  0.20586, 11.05323,  275,        4+5,
( -1/12| 47/12),-0.08333, 3.91667, -0.20586, 11.05323,  275,        3+6,
( 47/12|-23/6 ), 3.91667,-3.83333,  9.67531, -5.34834,  275,        4+5,
( 23/6 |-47/12), 3.83333,-3.91667,  9.46945, -5.70489,  275,        1+2,
(-47/12|  1/12),-3.91667, 0.08333, -9.67531, -5.34834,  275,        3+6,
(-23/6 | -1/12),-3.83333,-0.08333, -9.46945, -5.70489,  275,        1+2,
( 23/6 |  1/12), 3.83333, 0.08333,  9.46945,  5.70489,  276,        1+2,
( 47/12| -1/12), 3.91667,-0.08333,  9.67531,  5.34834,  276,        3+6,
(-23/6 | 47/12),-3.83333, 3.91667, -9.46945,  5.70489,  276,        1+2,
(-47/12| 23/6 ),-3.91667, 3.83333, -9.67531,  5.34834,  276,        4+5,
(  1/12|-47/12), 0.08333,-3.91667,  0.20586,-11.05323,  276,        3+6,
( -1/12|-23/6 ),-0.08333,-3.83333, -0.20586,-11.05323,  276,        4+5,
( 19/12| 17/6 ), 1.58333, 2.83333,  3.91129, 10.34012,  277,        4+5,
(-19/12| 53/12),-1.58333, 4.41667, -3.91129, 10.34012,  277,        3+6,
( 53/12|-17/6 ), 4.41667,-2.83333, 10.91045, -1.78278,  277,        4+5,
( 17/6 |-53/12), 2.83333,-4.41667,  6.99916, -8.55734,  277,        1+2,
(-53/12| 19/12),-4.41667, 1.58333,-10.91045, -1.78278,  277,        3+6,
(-17/6 |-19/12),-2.83333,-1.58333, -6.99916, -8.55734,  277,        1+2,
( 17/6 | 19/12), 2.83333, 1.58333,  6.99916,  8.55734,  278,        1+2,
( 53/12|-19/12), 4.41667,-1.58333, 10.91045,  1.78278,  278,        3+6,
(-17/6 | 53/12),-2.83333, 4.41667, -6.99916,  8.55734,  278,        1+2,
(-53/12| 17/6 ),-4.41667, 2.83333,-10.91045,  1.78278,  278,        4+5,
( 19/12|-53/12), 1.58333,-4.41667,  3.91129,-10.34012,  278,        3+6,
(-19/12|-17/6 ),-1.58333,-2.83333, -3.91129,-10.34012,  278,        4+5,
(  7/6 | 19/6 ), 1.16667, 3.16667,  2.88201, 10.69667,  279,        3+6,
( -7/6 | 13/3 ),-1.16667, 4.33333, -2.88201, 10.69667,  279,        4+5,
( 13/3 |-19/6 ), 4.33333,-3.16667, 10.70459, -2.85245,  279,        1+2,
( 19/6 |-13/3 ), 3.16667,-4.33333,  7.82259, -7.84423,  279,        4+5,
(-13/3 |  7/6 ),-4.33333, 1.16667,-10.70459, -2.85245,  279,        1+2,
(-19/6 | -7/6 ),-3.16667,-1.16667, -7.82259, -7.84423,  279,        3+6,
( 19/6 |  7/6 ), 3.16667, 1.16667,  7.82259,  7.84423,  280,        3+6,
( 13/3 | -7/6 ), 4.33333,-1.16667, 10.70459,  2.85245,  280,        1+2,
(-19/6 | 13/3 ),-3.16667, 4.33333, -7.82259,  7.84423,  280,        4+5,
(-13/3 | 19/6 ),-4.33333, 3.16667,-10.70459,  2.85245,  280,        1+2,
(  7/6 |-13/3 ), 1.16667,-4.33333,  2.88201,-10.69667,  280,        4+5,
( -7/6 |-19/6 ),-1.16667,-3.16667, -2.88201,-10.69667,  280,        3+6,
(  9/4 |  9/4 ), 2.25000, 2.25000,  5.55815,  9.62701,  281,        3+6,
(  9/2 | -9/4 ), 4.50000,-2.25000, 11.11631, -0.00000,  281,        1+2,
( -9/4 |  9/2 ),-2.25000, 4.50000, -5.55815,  9.62701,  281,        4+5,
(  9/4 | -9/2 ), 2.25000,-4.50000,  5.55815, -9.62701,  281,        4+5,
( -9/2 |  9/4 ),-4.50000, 2.25000,-11.11631,  0.00000,  281,        1+2,
( -9/4 | -9/4 ),-2.25000,-2.25000, -5.55815, -9.62701,  281,        3+6,
(  5/2 |  2   ), 2.50000, 2.00000,  6.17573,  9.27045,  282,        4+5,
(  9/2 | -2   ), 4.50000,-2.00000, 11.11631,  0.71311,  282,        4+5,
( -5/2 |  9/2 ),-2.50000, 4.50000, -6.17573,  9.27045,  282,        3+6,
( -9/2 |  5/2 ),-4.50000, 2.50000,-11.11631,  0.71311,  282,        3+6,
(  2   | -9/2 ), 2.00000,-4.50000,  4.94058, -9.98356,  282,        1+2,
( -2   | -5/2 ),-2.00000,-2.50000, -4.94058, -9.98356,  282,        1+2,
(  2   |  5/2 ), 2.00000, 2.50000,  4.94058,  9.98356,  283,        1+2,
( -2   |  9/2 ),-2.00000, 4.50000, -4.94058,  9.98356,  283,        1+2,
(  9/2 | -5/2 ), 4.50000,-2.50000, 11.11631, -0.71311,  283,        3+6,
(  5/2 | -9/2 ), 2.50000,-4.50000,  6.17573, -9.27045,  283,        3+6,
( -9/2 |  2   ),-4.50000, 2.00000,-11.11631, -0.71311,  283,        4+5,
( -5/2 | -2   ),-2.50000,-2.00000, -6.17573, -9.27045,  283,        4+5,
(  7/12| 43/12), 0.58333, 3.58333,  1.44100, 11.05323,  284,        3+6,
( -7/12| 25/6 ),-0.58333, 4.16667, -1.44100, 11.05323,  284,        4+5,
( 25/6 |-43/12), 4.16667,-3.58333, 10.29288, -4.27867,  284,        1+2,
( 43/12|-25/6 ), 3.58333,-4.16667,  8.85188, -6.77456,  284,        4+5,
(-25/6 |  7/12),-4.16667, 0.58333,-10.29288, -4.27867,  284,        1+2,
(-43/12| -7/12),-3.58333,-0.58333, -8.85188, -6.77456,  284,        3+6,
( 43/12|  7/12), 3.58333, 0.58333,  8.85188,  6.77456,  285,        3+6,
( 25/6 | -7/12), 4.16667,-0.58333, 10.29288,  4.27867,  285,        1+2,
(-43/12| 25/6 ),-3.58333, 4.16667, -8.85188,  6.77456,  285,        4+5,
(-25/6 | 43/12),-4.16667, 3.58333,-10.29288,  4.27867,  285,        1+2,
(  7/12|-25/6 ), 0.58333,-4.16667,  1.44100,-11.05323,  285,        4+5,
( -7/12|-43/12),-0.58333,-3.58333, -1.44100,-11.05323,  285,        3+6,
(  7/4 | 11/4 ), 1.75000, 2.75000,  4.32301, 10.34012,  286,        3+6,
( -7/4 |  9/2 ),-1.75000, 4.50000, -4.32301, 10.34012,  286,        4+5,
(  9/2 |-11/4 ), 4.50000,-2.75000, 11.11631, -1.42622,  286,        1+2,
( 11/4 | -9/2 ), 2.75000,-4.50000,  6.79330, -8.91390,  286,        4+5,
( -9/2 |  7/4 ),-4.50000, 1.75000,-11.11631, -1.42622,  286,        1+2,
(-11/4 | -7/4 ),-2.75000,-1.75000, -6.79330, -8.91390,  286,        3+6,
( 11/4 |  7/4 ), 2.75000, 1.75000,  6.79330,  8.91390,  287,        3+6,
(  9/2 | -7/4 ), 4.50000,-1.75000, 11.11631,  1.42622,  287,        1+2,
(-11/4 |  9/2 ),-2.75000, 4.50000, -6.79330,  8.91390,  287,        4+5,
( -9/2 | 11/4 ),-4.50000, 2.75000,-11.11631,  1.42622,  287,        1+2,
(  7/4 | -9/2 ), 1.75000,-4.50000,  4.32301,-10.34012,  287,        4+5,
( -7/4 |-11/4 ),-1.75000,-2.75000, -4.32301,-10.34012,  287,        3+6,
(  7/2 |  3/4 ), 3.50000, 0.75000,  8.64602,  7.13112,  288,        1+2,
( 17/4 | -3/4 ), 4.25000,-0.75000, 10.49874,  3.92211,  288,        3+6,
( -7/2 | 17/4 ),-3.50000, 4.25000, -8.64602,  7.13112,  288,        1+2,
(-17/4 |  7/2 ),-4.25000, 3.50000,-10.49874,  3.92211,  288,        4+5,
(  3/4 |-17/4 ), 0.75000,-4.25000,  1.85272,-11.05323,  288,        3+6,
( -3/4 | -7/2 ),-0.75000,-3.50000, -1.85272,-11.05323,  288,        4+5,
(  3/4 |  7/2 ), 0.75000, 3.50000,  1.85272, 11.05323,  289,        4+5,
( -3/4 | 17/4 ),-0.75000, 4.25000, -1.85272, 11.05323,  289,        3+6,
( 17/4 | -7/2 ), 4.25000,-3.50000, 10.49874, -3.92211,  289,        4+5,
(  7/2 |-17/4 ), 3.50000,-4.25000,  8.64602, -7.13112,  289,        1+2,
(-17/4 |  3/4 ),-4.25000, 0.75000,-10.49874, -3.92211,  289,        3+6,
( -7/2 | -3/4 ),-3.50000,-0.75000, -8.64602, -7.13112,  289,        1+2,
(  3/2 |  3   ), 1.50000, 3.00000,  3.70544, 10.69667,  290,        4+5,
( -3/2 |  9/2 ),-1.50000, 4.50000, -3.70544, 10.69667,  290,        3+6,
(  9/2 | -3   ), 4.50000,-3.00000, 11.11631, -2.13933,  290,        4+5,
(  3   | -9/2 ), 3.00000,-4.50000,  7.41087, -8.55734,  290,        1+2,
( -9/2 |  3/2 ),-4.50000, 1.50000,-11.11631, -2.13933,  290,        3+6,
( -3   | -3/2 ),-3.00000,-1.50000, -7.41087, -8.55734,  290,        1+2,
(  3   |  3/2 ), 3.00000, 1.50000,  7.41087,  8.55734,  291,        1+2,
(  9/2 | -3/2 ), 4.50000,-1.50000, 11.11631,  2.13933,  291,        3+6,
( -3   |  9/2 ),-3.00000, 4.50000, -7.41087,  8.55734,  291,        1+2,
( -9/2 |  3   ),-4.50000, 3.00000,-11.11631,  2.13933,  291,        4+5,
(  3/2 | -9/2 ), 1.50000,-4.50000,  3.70544,-10.69667,  291,        3+6,
( -3/2 | -3   ),-1.50000,-3.00000, -3.70544,-10.69667,  291,        4+5,
( 13/6 | 29/12), 2.16667, 2.41667,  5.35230,  9.98356,  292,        1+2,
(-13/6 | 55/12),-2.16667, 4.58333, -5.35230,  9.98356,  292,        1+2,
( 55/12|-29/12), 4.58333,-2.41667, 11.32217, -0.35656,  292,        3+6,
( 29/12|-55/12), 2.41667,-4.58333,  5.96987, -9.62701,  292,        3+6,
(-55/12| 13/6 ),-4.58333, 2.16667,-11.32217, -0.35656,  292,        4+5,
(-29/12|-13/6 ),-2.41667,-2.16667, -5.96987, -9.62701,  292,        4+5,
( 29/12| 13/6 ), 2.41667, 2.16667,  5.96987,  9.62701,  293,        4+5,
( 55/12|-13/6 ), 4.58333,-2.16667, 11.32217,  0.35656,  293,        4+5,
(-29/12| 55/12),-2.41667, 4.58333, -5.96987,  9.62701,  293,        3+6,
(-55/12| 29/12),-4.58333, 2.41667,-11.32217,  0.35656,  293,        3+6,
( 13/6 |-55/12), 2.16667,-4.58333,  5.35230, -9.98356,  293,        1+2,
(-13/6 |-29/12),-2.16667,-2.41667, -5.35230, -9.98356,  293,        1+2,
(  0   |  4   ), 0.00000, 4.00000,  0.00000, 11.40979,  294,1+2+3+4+5+6,
(  4   | -4   ), 4.00000,-4.00000,  9.88116, -5.70489,  294,1+2+3+4+5+6,
( -4   |  0   ),-4.00000, 0.00000, -9.88116, -5.70489,  294,1+2+3+4+5+6,
(  4   |  0   ), 4.00000, 0.00000,  9.88116,  5.70489,  295,1+2+3+4+5+6,
( -4   |  4   ),-4.00000, 4.00000, -9.88116,  5.70489,  295,1+2+3+4+5+6,
(  0   | -4   ), 0.00000,-4.00000,  0.00000,-11.40979,  295,1+2+3+4+5+6,
( 47/12|  1/6 ), 3.91667, 0.16667,  9.67531,  6.06145,  296,        4+5,
( 49/12| -1/6 ), 4.08333,-0.16667, 10.08702,  5.34834,  296,        4+5,
(-47/12| 49/12),-3.91667, 4.08333, -9.67531,  6.06145,  296,        3+6,
(-49/12| 47/12),-4.08333, 3.91667,-10.08702,  5.34834,  296,        3+6,
(  1/6 |-49/12), 0.16667,-4.08333,  0.41172,-11.40979,  296,        1+2,
( -1/6 |-47/12),-0.16667,-3.91667, -0.41172,-11.40979,  296,        1+2,
(  1/6 | 47/12), 0.16667, 3.91667,  0.41172, 11.40979,  297,        1+2,
( -1/6 | 49/12),-0.16667, 4.08333, -0.41172, 11.40979,  297,        1+2,
( 49/12|-47/12), 4.08333,-3.91667, 10.08702, -5.34834,  297,        3+6,
( 47/12|-49/12), 3.91667,-4.08333,  9.67531, -6.06145,  297,        3+6,
(-49/12|  1/6 ),-4.08333, 0.16667,-10.08702, -5.34834,  297,        4+5,
(-47/12| -1/6 ),-3.91667,-0.16667, -9.67531, -6.06145,  297,        4+5,
( 23/6 |  1/3 ), 3.83333, 0.33333,  9.46945,  6.41800,  298,        4+5,
( 25/6 | -1/3 ), 4.16667,-0.33333, 10.29288,  4.99178,  298,        4+5,
(-23/6 | 25/6 ),-3.83333, 4.16667, -9.46945,  6.41800,  298,        3+6,
(-25/6 | 23/6 ),-4.16667, 3.83333,-10.29288,  4.99178,  298,        3+6,
(  1/3 |-25/6 ), 0.33333,-4.16667,  0.82343,-11.40979,  298,        1+2,
( -1/3 |-23/6 ),-0.33333,-3.83333, -0.82343,-11.40979,  298,        1+2,
(  1/3 | 23/6 ), 0.33333, 3.83333,  0.82343, 11.40979,  299,        1+2,
( -1/3 | 25/6 ),-0.33333, 4.16667, -0.82343, 11.40979,  299,        1+2,
( 25/6 |-23/6 ), 4.16667,-3.83333, 10.29288, -4.99178,  299,        3+6,
( 23/6 |-25/6 ), 3.83333,-4.16667,  9.46945, -6.41800,  299,        3+6,
(-25/6 |  1/3 ),-4.16667, 0.33333,-10.29288, -4.99178,  299,        4+5,
(-23/6 | -1/3 ),-3.83333,-0.33333, -9.46945, -6.41800,  299,        4+5,
( 15/4 |  1/2 ), 3.75000, 0.50000,  9.26359,  6.77456,  300,        4+5,
( 17/4 | -1/2 ), 4.25000,-0.50000, 10.49874,  4.63523,  300,        4+5,
(-15/4 | 17/4 ),-3.75000, 4.25000, -9.26359,  6.77456,  300,        3+6,
(-17/4 | 15/4 ),-4.25000, 3.75000,-10.49874,  4.63523,  300,        3+6,
(  1/2 |-17/4 ), 0.50000,-4.25000,  1.23515,-11.40979,  300,        1+2,
( -1/2 |-15/4 ),-0.50000,-3.75000, -1.23515,-11.40979,  300,        1+2,
(  1/2 | 15/4 ), 0.50000, 3.75000,  1.23515, 11.40979,  301,        1+2,
( -1/2 | 17/4 ),-0.50000, 4.25000, -1.23515, 11.40979,  301,        1+2,
( 17/4 |-15/4 ), 4.25000,-3.75000, 10.49874, -4.63523,  301,        3+6,
( 15/4 |-17/4 ), 3.75000,-4.25000,  9.26359, -6.77456,  301,        3+6,
(-17/4 |  1/2 ),-4.25000, 0.50000,-10.49874, -4.63523,  301,        4+5,
(-15/4 | -1/2 ),-3.75000,-0.50000, -9.26359, -6.77456,  301,        4+5,
(  5/4 | 13/4 ), 1.25000, 3.25000,  3.08786, 11.05323,  302,        3+6,
( -5/4 |  9/2 ),-1.25000, 4.50000, -3.08786, 11.05323,  302,        4+5,
(  9/2 |-13/4 ), 4.50000,-3.25000, 11.11631, -2.85245,  302,        1+2,
( 13/4 | -9/2 ), 3.25000,-4.50000,  8.02845, -8.20078,  302,        4+5,
( -9/2 |  5/4 ),-4.50000, 1.25000,-11.11631, -2.85245,  302,        1+2,
(-13/4 | -5/4 ),-3.25000,-1.25000, -8.02845, -8.20078,  302,        3+6,
( 13/4 |  5/4 ), 3.25000, 1.25000,  8.02845,  8.20078,  303,        3+6,
(  9/2 | -5/4 ), 4.50000,-1.25000, 11.11631,  2.85245,  303,        1+2,
(-13/4 |  9/2 ),-3.25000, 4.50000, -8.02845,  8.20078,  303,        4+5,
( -9/2 | 13/4 ),-4.50000, 3.25000,-11.11631,  2.85245,  303,        1+2,
(  5/4 | -9/2 ), 1.25000,-4.50000,  3.08786,-11.05323,  303,        4+5,
( -5/4 |-13/4 ),-1.25000,-3.25000, -3.08786,-11.05323,  303,        3+6,
( 11/3 |  2/3 ), 3.66667, 0.66667,  9.05773,  7.13112,  304,1+2+3+4+5+6,
( 13/3 | -2/3 ), 4.33333,-0.66667, 10.70459,  4.27867,  304,1+2+3+4+5+6,
(-11/3 | 13/3 ),-3.66667, 4.33333, -9.05773,  7.13112,  304,1+2+3+4+5+6,
(-13/3 | 11/3 ),-4.33333, 3.66667,-10.70459,  4.27867,  304,1+2+3+4+5+6,
(  2/3 |-13/3 ), 0.66667,-4.33333,  1.64686,-11.40979,  304,1+2+3+4+5+6,
( -2/3 |-11/3 ),-0.66667,-3.66667, -1.64686,-11.40979,  304,1+2+3+4+5+6,
(  7/3 |  7/3 ), 2.33333, 2.33333,  5.76401,  9.98356,  305,1+2+3+4+5+6,
( 14/3 | -7/3 ), 4.66667,-2.33333, 11.52802, -0.00000,  305,1+2+3+4+5+6,
( -7/3 | 14/3 ),-2.33333, 4.66667, -5.76401,  9.98356,  305,1+2+3+4+5+6,
(  7/3 |-14/3 ), 2.33333,-4.66667,  5.76401, -9.98356,  305,1+2+3+4+5+6,
(-14/3 |  7/3 ),-4.66667, 2.33333,-11.52802,  0.00000,  305,1+2+3+4+5+6,
( -7/3 | -7/3 ),-2.33333,-2.33333, -5.76401, -9.98356,  305,1+2+3+4+5+6,
(  2/3 | 11/3 ), 0.66667, 3.66667,  1.64686, 11.40979,  306,1+2+3+4+5+6,
( -2/3 | 13/3 ),-0.66667, 4.33333, -1.64686, 11.40979,  306,1+2+3+4+5+6,
( 13/3 |-11/3 ), 4.33333,-3.66667, 10.70459, -4.27867,  306,1+2+3+4+5+6,
( 11/3 |-13/3 ), 3.66667,-4.33333,  9.05773, -7.13112,  306,1+2+3+4+5+6,
(-13/3 |  2/3 ),-4.33333, 0.66667,-10.70459, -4.27867,  306,1+2+3+4+5+6,
(-11/3 | -2/3 ),-3.66667,-0.66667, -9.05773, -7.13112,  306,1+2+3+4+5+6,
( 17/12| 19/6 ), 1.41667, 3.16667,  3.49958, 11.05323,  307,        4+5,
(-17/12| 55/12),-1.41667, 4.58333, -3.49958, 11.05323,  307,        3+6,
( 55/12|-19/6 ), 4.58333,-3.16667, 11.32217, -2.49589,  307,        4+5,
( 19/6 |-55/12), 3.16667,-4.58333,  7.82259, -8.55734,  307,        1+2,
(-55/12| 17/12),-4.58333, 1.41667,-11.32217, -2.49589,  307,        3+6,
(-19/6 |-17/12),-3.16667,-1.41667, -7.82259, -8.55734,  307,        1+2,
( 19/6 | 17/12), 3.16667, 1.41667,  7.82259,  8.55734,  308,        1+2,
( 55/12|-17/12), 4.58333,-1.41667, 11.32217,  2.49589,  308,        3+6,
(-19/6 | 55/12),-3.16667, 4.58333, -7.82259,  8.55734,  308,        1+2,
(-55/12| 19/6 ),-4.58333, 3.16667,-11.32217,  2.49589,  308,        4+5,
( 17/12|-55/12), 1.41667,-4.58333,  3.49958,-11.05323,  308,        3+6,
(-17/12|-19/6 ),-1.41667,-3.16667, -3.49958,-11.05323,  308,        4+5,
( 43/12|  5/6 ), 3.58333, 0.83333,  8.85188,  7.48767,  309,        4+5,
( 53/12| -5/6 ), 4.41667,-0.83333, 10.91045,  3.92211,  309,        4+5,
(-43/12| 53/12),-3.58333, 4.41667, -8.85188,  7.48767,  309,        3+6,
(-53/12| 43/12),-4.41667, 3.58333,-10.91045,  3.92211,  309,        3+6,
(  5/6 |-53/12), 0.83333,-4.41667,  2.05858,-11.40979,  309,        1+2,
( -5/6 |-43/12),-0.83333,-3.58333, -2.05858,-11.40979,  309,        1+2,
(  5/6 | 43/12), 0.83333, 3.58333,  2.05858, 11.40979,  310,        1+2,
( -5/6 | 53/12),-0.83333, 4.41667, -2.05858, 11.40979,  310,        1+2,
( 53/12|-43/12), 4.41667,-3.58333, 10.91045, -3.92211,  310,        3+6,
( 43/12|-53/12), 3.58333,-4.41667,  8.85188, -7.48767,  310,        3+6,
(-53/12|  5/6 ),-4.41667, 0.83333,-10.91045, -3.92211,  310,        4+5,
(-43/12| -5/6 ),-3.58333,-0.83333, -8.85188, -7.48767,  310,        4+5,
( 11/6 | 17/6 ), 1.83333, 2.83333,  4.52887, 10.69667,  311,        3+6,
(-11/6 | 14/3 ),-1.83333, 4.66667, -4.52887, 10.69667,  311,        4+5,
( 14/3 |-17/6 ), 4.66667,-2.83333, 11.52802, -1.42622,  311,        1+2,
( 17/6 |-14/3 ), 2.83333,-4.66667,  6.99916, -9.27045,  311,        4+5,
(-14/3 | 11/6 ),-4.66667, 1.83333,-11.52802, -1.42622,  311,        1+2,
(-17/6 |-11/6 ),-2.83333,-1.83333, -6.99916, -9.27045,  311,        3+6,
( 17/6 | 11/6 ), 2.83333, 1.83333,  6.99916,  9.27045,  312,        3+6,
( 14/3 |-11/6 ), 4.66667,-1.83333, 11.52802,  1.42622,  312,        1+2,
(-17/6 | 14/3 ),-2.83333, 4.66667, -6.99916,  9.27045,  312,        4+5,
(-14/3 | 17/6 ),-4.66667, 2.83333,-11.52802,  1.42622,  312,        1+2,
( 11/6 |-14/3 ), 1.83333,-4.66667,  4.52887,-10.69667,  312,        4+5,
(-11/6 |-17/6 ),-1.83333,-2.83333, -4.52887,-10.69667,  312,        3+6,
(  7/2 |  1   ), 3.50000, 1.00000,  8.64602,  7.84423,  313,        4+5,
(  9/2 | -1   ), 4.50000,-1.00000, 11.11631,  3.56556,  313,        4+5,
( -7/2 |  9/2 ),-3.50000, 4.50000, -8.64602,  7.84423,  313,        3+6,
( -9/2 |  7/2 ),-4.50000, 3.50000,-11.11631,  3.56556,  313,        3+6,
(  1   | -9/2 ), 1.00000,-4.50000,  2.47029,-11.40979,  313,        1+2,
( -1   | -7/2 ),-1.00000,-3.50000, -2.47029,-11.40979,  313,        1+2,
(  1   |  7/2 ), 1.00000, 3.50000,  2.47029, 11.40979,  314,        1+2,
( -1   |  9/2 ),-1.00000, 4.50000, -2.47029, 11.40979,  314,        1+2,
(  9/2 | -7/2 ), 4.50000,-3.50000, 11.11631, -3.56556,  314,        3+6,
(  7/2 | -9/2 ), 3.50000,-4.50000,  8.64602, -7.84423,  314,        3+6,
( -9/2 |  1   ),-4.50000, 1.00000,-11.11631, -3.56556,  314,        4+5,
( -7/2 | -1   ),-3.50000,-1.00000, -8.64602, -7.84423,  314,        4+5,
(  5/2 |  9/4 ), 2.50000, 2.25000,  6.17573,  9.98356,  315,        1+2,
( 19/4 | -9/4 ), 4.75000,-2.25000, 11.73388,  0.35656,  315,        3+6,
( -5/2 | 19/4 ),-2.50000, 4.75000, -6.17573,  9.98356,  315,        1+2,
(-19/4 |  5/2 ),-4.75000, 2.50000,-11.73388,  0.35656,  315,        4+5,
(  9/4 |-19/4 ), 2.25000,-4.75000,  5.55815,-10.34012,  315,        3+6,
( -9/4 | -5/2 ),-2.25000,-2.50000, -5.55815,-10.34012,  315,        4+5,
(  9/4 |  5/2 ), 2.25000, 2.50000,  5.55815, 10.34012,  316,        4+5,
( -9/4 | 19/4 ),-2.25000, 4.75000, -5.55815, 10.34012,  316,        3+6,
( 19/4 | -5/2 ), 4.75000,-2.50000, 11.73388, -0.35656,  316,        4+5,
(  5/2 |-19/4 ), 2.50000,-4.75000,  6.17573, -9.98356,  316,        1+2,
(-19/4 |  9/4 ),-4.75000, 2.25000,-11.73388, -0.35656,  316,        3+6,
( -5/2 | -9/4 ),-2.50000,-2.25000, -6.17573, -9.98356,  316,        1+2,
( 49/12|  1/12), 4.08333, 0.08333, 10.08702,  6.06145,  317,        3+6,
( 25/6 | -1/12), 4.16667,-0.08333, 10.29288,  5.70489,  317,        1+2,
(-49/12| 25/6 ),-4.08333, 4.16667,-10.08702,  6.06145,  317,        4+5,
(-25/6 | 49/12),-4.16667, 4.08333,-10.29288,  5.70489,  317,        1+2,
(  1/12|-25/6 ), 0.08333,-4.16667,  0.20586,-11.76634,  317,        4+5,
( -1/12|-49/12),-0.08333,-4.08333, -0.20586,-11.76634,  317,        3+6,
(  1/12| 49/12), 0.08333, 4.08333,  0.20586, 11.76634,  318,        3+6,
( -1/12| 25/6 ),-0.08333, 4.16667, -0.20586, 11.76634,  318,        4+5,
( 25/6 |-49/12), 4.16667,-4.08333, 10.29288, -5.70489,  318,        1+2,
( 49/12|-25/6 ), 4.08333,-4.16667, 10.08702, -6.06145,  318,        4+5,
(-25/6 |  1/12),-4.16667, 0.08333,-10.29288, -5.70489,  318,        1+2,
(-49/12| -1/12),-4.08333,-0.08333,-10.08702, -6.06145,  318,        3+6,
( 41/12|  7/6 ), 3.41667, 1.16667,  8.44016,  8.20078,  319,        4+5,
( 55/12| -7/6 ), 4.58333,-1.16667, 11.32217,  3.20900,  319,        4+5,
(-41/12| 55/12),-3.41667, 4.58333, -8.44016,  8.20078,  319,        3+6,
(-55/12| 41/12),-4.58333, 3.41667,-11.32217,  3.20900,  319,        3+6,
(  7/6 |-55/12), 1.16667,-4.58333,  2.88201,-11.40979,  319,        1+2,
( -7/6 |-41/12),-1.16667,-3.41667, -2.88201,-11.40979,  319,        1+2,
(  7/6 | 41/12), 1.16667, 3.41667,  2.88201, 11.40979,  320,        1+2,
( -7/6 | 55/12),-1.16667, 4.58333, -2.88201, 11.40979,  320,        1+2,
( 55/12|-41/12), 4.58333,-3.41667, 11.32217, -3.20900,  320,        3+6,
( 41/12|-55/12), 3.41667,-4.58333,  8.44016, -8.20078,  320,        3+6,
(-55/12|  7/6 ),-4.58333, 1.16667,-11.32217, -3.20900,  320,        4+5,
