# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  3   | -7/2 ), 3.00000,-3.50000,  6.81424, -5.24561,  682,        1,
( -7/2 |  1/2 ),-3.50000, 0.50000, -7.94995, -3.27850,  682,        1,
( -3   | -1/2 ),-3.00000,-0.50000, -6.81424, -5.24561,  682,        1,
( 19/10| 19/10), 1.90000, 1.90000,  4.31569,  7.47499,  683,        1,
( 19/5 |-19/10), 3.80000,-1.90000,  8.63137, -0.00000,  683,        1,
(-19/10| 19/5 ),-1.90000, 3.80000, -4.31569,  7.47499,  683,        1,
( 19/10|-19/5 ), 1.90000,-3.80000,  4.31569, -7.47499,  683,        1,
(-19/5 | 19/10),-3.80000, 1.90000, -8.63137,  0.00000,  683,        1,
(-19/10|-19/10),-1.90000,-1.90000, -4.31569, -7.47499,  683,        1,
( 11/10| 13/5 ), 1.10000, 2.60000,  2.49856,  8.26183,  684,        1,
(-11/10| 37/10),-1.10000, 3.70000, -2.49856,  8.26183,  684,        1,
( 37/10|-13/5 ), 3.70000,-2.60000,  8.40423, -1.96710,  684,        1,
( 13/5 |-37/10), 2.60000,-3.70000,  5.90568, -6.29473,  684,        1,
(-37/10| 11/10),-3.70000, 1.10000, -8.40423, -1.96710,  684,        1,
(-13/5 |-11/10),-2.60000,-1.10000, -5.90568, -6.29473,  684,        1,
( 13/5 | 11/10), 2.60000, 1.10000,  5.90568,  6.29473,  685,        1,
( 37/10|-11/10), 3.70000,-1.10000,  8.40423,  1.96710,  685,        1,
(-13/5 | 37/10),-2.60000, 3.70000, -5.90568,  6.29473,  685,        1,
(-37/10| 13/5 ),-3.70000, 2.60000, -8.40423,  1.96710,  685,        1,
( 11/10|-37/10), 1.10000,-3.70000,  2.49856, -8.26183,  685,        1,
(-11/10|-13/5 ),-1.10000,-2.60000, -2.49856, -8.26183,  685,        1,
(  9/5 |  2   ), 1.80000, 2.00000,  4.08855,  7.60613,  686,        1,
( -9/5 | 19/5 ),-1.80000, 3.80000, -4.08855,  7.60613,  686,        1,
( 19/5 | -2   ), 3.80000,-2.00000,  8.63137, -0.26228,  686,        1,
(  2   |-19/5 ), 2.00000,-3.80000,  4.54283, -7.34385,  686,        1,
(-19/5 |  9/5 ),-3.80000, 1.80000, -8.63137, -0.26228,  686,        1,
( -2   | -9/5 ),-2.00000,-1.80000, -4.54283, -7.34385,  686,        1,
(  2   |  9/5 ), 2.00000, 1.80000,  4.54283,  7.34385,  687,        1,
( 19/5 | -9/5 ), 3.80000,-1.80000,  8.63137,  0.26228,  687,        1,
( -2   | 19/5 ),-2.00000, 3.80000, -4.54283,  7.34385,  687,        1,
(-19/5 |  2   ),-3.80000, 2.00000, -8.63137,  0.26228,  687,        1,
(  9/5 |-19/5 ), 1.80000,-3.80000,  4.08855, -7.60613,  687,        1,
( -9/5 | -2   ),-1.80000,-2.00000, -4.08855, -7.60613,  687,        1,
( 17/10| 21/10), 1.70000, 2.10000,  3.86140,  7.73727,  688,        1,
(-17/10| 19/5 ),-1.70000, 3.80000, -3.86140,  7.73727,  688,        1,
( 19/5 |-21/10), 3.80000,-2.10000,  8.63137, -0.52456,  688,        1,
( 21/10|-19/5 ), 2.10000,-3.80000,  4.76997, -7.21271,  688,        1,
(-19/5 | 17/10),-3.80000, 1.70000, -8.63137, -0.52456,  688,        1,
(-21/10|-17/10),-2.10000,-1.70000, -4.76997, -7.21271,  688,        1,
( 21/10| 17/10), 2.10000, 1.70000,  4.76997,  7.21271,  689,        1,
( 19/5 |-17/10), 3.80000,-1.70000,  8.63137,  0.52456,  689,        1,
(-21/10| 19/5 ),-2.10000, 3.80000, -4.76997,  7.21271,  689,        1,
(-19/5 | 21/10),-3.80000, 2.10000, -8.63137,  0.52456,  689,        1,
( 17/10|-19/5 ), 1.70000,-3.80000,  3.86140, -7.73727,  689,        1,
(-17/10|-21/10),-1.70000,-2.10000, -3.86140, -7.73727,  689,        1,
(  0   | 33/10), 0.00000, 3.30000,  0.00000,  8.65525,  690,        1,
( 33/10|-33/10), 3.30000,-3.30000,  7.49567, -4.32762,  690,        1,
(-33/10|  0   ),-3.30000, 0.00000, -7.49567, -4.32762,  690,        1,
( 33/10|  0   ), 3.30000, 0.00000,  7.49567,  4.32762,  691,        1,
(-33/10| 33/10),-3.30000, 3.30000, -7.49567,  4.32762,  691,        1,
(  0   |-33/10), 0.00000,-3.30000,  0.00000, -8.65525,  691,        1,
(  8/5 | 11/5 ), 1.60000, 2.20000,  3.63426,  7.86841,  692,        1,
( -8/5 | 19/5 ),-1.60000, 3.80000, -3.63426,  7.86841,  692,        1,
( 19/5 |-11/5 ), 3.80000,-2.20000,  8.63137, -0.78684,  692,        1,
( 11/5 |-19/5 ), 2.20000,-3.80000,  4.99711, -7.08157,  692,        1,
(-19/5 |  8/5 ),-3.80000, 1.60000, -8.63137, -0.78684,  692,        1,
(-11/5 | -8/5 ),-2.20000,-1.60000, -4.99711, -7.08157,  692,        1,
(  1/5 | 16/5 ), 0.20000, 3.20000,  0.45428,  8.65525,  693,        1,
( -1/5 | 17/5 ),-0.20000, 3.40000, -0.45428,  8.65525,  693,        1,
( 17/5 |-16/5 ), 3.40000,-3.20000,  7.72281, -3.93420,  693,        1,
( 16/5 |-17/5 ), 3.20000,-3.40000,  7.26852, -4.72105,  693,        1,
(-17/5 |  1/5 ),-3.40000, 0.20000, -7.72281, -3.93420,  693,        1,
(-16/5 | -1/5 ),-3.20000,-0.20000, -7.26852, -4.72105,  693,        1,
( 16/5 |  1/5 ), 3.20000, 0.20000,  7.26852,  4.72105,  694,        1,
( 17/5 | -1/5 ), 3.40000,-0.20000,  7.72281,  3.93420,  694,        1,
(-16/5 | 17/5 ),-3.20000, 3.40000, -7.26852,  4.72105,  694,        1,
(-17/5 | 16/5 ),-3.40000, 3.20000, -7.72281,  3.93420,  694,        1,
(  1/5 |-17/5 ), 0.20000,-3.40000,  0.45428, -8.65525,  694,        1,
( -1/5 |-16/5 ),-0.20000,-3.20000, -0.45428, -8.65525,  694,        1,
( 11/5 |  8/5 ), 2.20000, 1.60000,  4.99711,  7.08157,  695,        1,
( 19/5 | -8/5 ), 3.80000,-1.60000,  8.63137,  0.78684,  695,        1,
(-11/5 | 19/5 ),-2.20000, 3.80000, -4.99711,  7.08157,  695,        1,
(-19/5 | 11/5 ),-3.80000, 2.20000, -8.63137,  0.78684,  695,        1,
(  8/5 |-19/5 ), 1.60000,-3.80000,  3.63426, -7.86841,  695,        1,
( -8/5 |-11/5 ),-1.60000,-2.20000, -3.63426, -7.86841,  695,        1,
( 29/10|  7/10), 2.90000, 0.70000,  6.58710,  5.63903,  696,        1,
( 18/5 | -7/10), 3.60000,-0.70000,  8.17709,  2.88508,  696,        1,
(-29/10| 18/5 ),-2.90000, 3.60000, -6.58710,  5.63903,  696,        1,
(-18/5 | 29/10),-3.60000, 2.90000, -8.17709,  2.88508,  696,        1,
(  7/10|-18/5 ), 0.70000,-3.60000,  1.58999, -8.52411,  696,        1,
( -7/10|-29/10),-0.70000,-2.90000, -1.58999, -8.52411,  696,        1,
(  7/10| 29/10), 0.70000, 2.90000,  1.58999,  8.52411,  697,        1,
( -7/10| 18/5 ),-0.70000, 3.60000, -1.58999,  8.52411,  697,        1,
( 18/5 |-29/10), 3.60000,-2.90000,  8.17709, -2.88508,  697,        1,
( 29/10|-18/5 ), 2.90000,-3.60000,  6.58710, -5.63903,  697,        1,
(-18/5 |  7/10),-3.60000, 0.70000, -8.17709, -2.88508,  697,        1,
(-29/10| -7/10),-2.90000,-0.70000, -6.58710, -5.63903,  697,        1,
(  3/2 | 23/10), 1.50000, 2.30000,  3.40712,  7.99955,  698,        1,
( -3/2 | 19/5 ),-1.50000, 3.80000, -3.40712,  7.99955,  698,        1,
( 19/5 |-23/10), 3.80000,-2.30000,  8.63137, -1.04912,  698,        1,
( 23/10|-19/5 ), 2.30000,-3.80000,  5.22425, -6.95043,  698,        1,
(-19/5 |  3/2 ),-3.80000, 1.50000, -8.63137, -1.04912,  698,        1,
(-23/10| -3/2 ),-2.30000,-1.50000, -5.22425, -6.95043,  698,        1,
( 23/10|  3/2 ), 2.30000, 1.50000,  5.22425,  6.95043,  699,        1,
( 19/5 | -3/2 ), 3.80000,-1.50000,  8.63137,  1.04912,  699,        1,
(-23/10| 19/5 ),-2.30000, 3.80000, -5.22425,  6.95043,  699,        1,
(-19/5 | 23/10),-3.80000, 2.30000, -8.63137,  1.04912,  699,        1,
(  3/2 |-19/5 ), 1.50000,-3.80000,  3.40712, -7.99955,  699,        1,
( -3/2 |-23/10),-1.50000,-2.30000, -3.40712, -7.99955,  699,        1,
(  1   | 27/10), 1.00000, 2.70000,  2.27141,  8.39297,  700,        1,
( -1   | 37/10),-1.00000, 3.70000, -2.27141,  8.39297,  700,        1,
( 37/10|-27/10), 3.70000,-2.70000,  8.40423, -2.22938,  700,        1,
( 27/10|-37/10), 2.70000,-3.70000,  6.13282, -6.16359,  700,        1,
(-37/10|  1   ),-3.70000, 1.00000, -8.40423, -2.22938,  700,        1,
(-27/10| -1   ),-2.70000,-1.00000, -6.13282, -6.16359,  700,        1,
( 27/10|  1   ), 2.70000, 1.00000,  6.13282,  6.16359,  701,        1,
( 37/10| -1   ), 3.70000,-1.00000,  8.40423,  2.22938,  701,        1,
(-27/10| 37/10),-2.70000, 3.70000, -6.13282,  6.16359,  701,        1,
(-37/10| 27/10),-3.70000, 2.70000, -8.40423,  2.22938,  701,        1,
(  1   |-37/10), 1.00000,-3.70000,  2.27141, -8.39297,  701,        1,
( -1   |-27/10),-1.00000,-2.70000, -2.27141, -8.39297,  701,        1,
(  2/5 | 31/10), 0.40000, 3.10000,  0.90857,  8.65525,  702,        1,
( -2/5 |  7/2 ),-0.40000, 3.50000, -0.90857,  8.65525,  702,        1,
(  7/2 |-31/10), 3.50000,-3.10000,  7.94995, -3.54078,  702,        1,
( 31/10| -7/2 ), 3.10000,-3.50000,  7.04138, -5.11447,  702,        1,
( -7/2 |  2/5 ),-3.50000, 0.40000, -7.94995, -3.54078,  702,        1,
(-31/10| -2/5 ),-3.10000,-0.40000, -7.04138, -5.11447,  702,        1,
( 31/10|  2/5 ), 3.10000, 0.40000,  7.04138,  5.11447,  703,        1,
(  7/2 | -2/5 ), 3.50000,-0.40000,  7.94995,  3.54078,  703,        1,
(-31/10|  7/2 ),-3.10000, 3.50000, -7.04138,  5.11447,  703,        1,
( -7/2 | 31/10),-3.50000, 3.10000, -7.94995,  3.54078,  703,        1,
(  2/5 | -7/2 ), 0.40000,-3.50000,  0.90857, -8.65525,  703,        1,
( -2/5 |-31/10),-0.40000,-3.10000, -0.90857, -8.65525,  703,        1,
(  7/5 | 12/5 ), 1.40000, 2.40000,  3.17998,  8.13069,  704,        1,
( -7/5 | 19/5 ),-1.40000, 3.80000, -3.17998,  8.13069,  704,        1,
( 19/5 |-12/5 ), 3.80000,-2.40000,  8.63137, -1.31140,  704,        1,
( 12/5 |-19/5 ), 2.40000,-3.80000,  5.45139, -6.81929,  704,        1,
(-19/5 |  7/5 ),-3.80000, 1.40000, -8.63137, -1.31140,  704,        1,
(-12/5 | -7/5 ),-2.40000,-1.40000, -5.45139, -6.81929,  704,        1,
( 12/5 |  7/5 ), 2.40000, 1.40000,  5.45139,  6.81929,  705,        1,
( 19/5 | -7/5 ), 3.80000,-1.40000,  8.63137,  1.31140,  705,        1,
(-12/5 | 19/5 ),-2.40000, 3.80000, -5.45139,  6.81929,  705,        1,
(-19/5 | 12/5 ),-3.80000, 2.40000, -8.63137,  1.31140,  705,        1,
(  7/5 |-19/5 ), 1.40000,-3.80000,  3.17998, -8.13069,  705,        1,
( -7/5 |-12/5 ),-1.40000,-2.40000, -3.17998, -8.13069,  705,        1,
(  3   |  3/5 ), 3.00000, 0.60000,  6.81424,  5.50789,  706,        1,
( 18/5 | -3/5 ), 3.60000,-0.60000,  8.17709,  3.14736,  706,        1,
( -3   | 18/5 ),-3.00000, 3.60000, -6.81424,  5.50789,  706,        1,
(-18/5 |  3   ),-3.60000, 3.00000, -8.17709,  3.14736,  706,        1,
(  3/5 |-18/5 ), 0.60000,-3.60000,  1.36285, -8.65525,  706,        1,
( -3/5 | -3   ),-0.60000,-3.00000, -1.36285, -8.65525,  706,        1,
(  3/5 |  3   ), 0.60000, 3.00000,  1.36285,  8.65525,  707,        1,
( -3/5 | 18/5 ),-0.60000, 3.60000, -1.36285,  8.65525,  707,        1,
( 18/5 | -3   ), 3.60000,-3.00000,  8.17709, -3.14736,  707,        1,
(  3   |-18/5 ), 3.00000,-3.60000,  6.81424, -5.50789,  707,        1,
(-18/5 |  3/5 ),-3.60000, 0.60000, -8.17709, -3.14736,  707,        1,
( -3   | -3/5 ),-3.00000,-0.60000, -6.81424, -5.50789,  707,        1,
(  9/10| 14/5 ), 0.90000, 2.80000,  2.04427,  8.52411,  708,        1,
( -9/10| 37/10),-0.90000, 3.70000, -2.04427,  8.52411,  708,        1,
( 37/10|-14/5 ), 3.70000,-2.80000,  8.40423, -2.49166,  708,        1,
( 14/5 |-37/10), 2.80000,-3.70000,  6.35996, -6.03245,  708,        1,
(-37/10|  9/10),-3.70000, 0.90000, -8.40423, -2.49166,  708,        1,
(-14/5 | -9/10),-2.80000,-0.90000, -6.35996, -6.03245,  708,        1,
( 14/5 |  9/10), 2.80000, 0.90000,  6.35996,  6.03245,  709,        1,
( 37/10| -9/10), 3.70000,-0.90000,  8.40423,  2.49166,  709,        1,
(-14/5 | 37/10),-2.80000, 3.70000, -6.35996,  6.03245,  709,        1,
(-37/10| 14/5 ),-3.70000, 2.80000, -8.40423,  2.49166,  709,        1,
(  9/10|-37/10), 0.90000,-3.70000,  2.04427, -8.52411,  709,        1,
( -9/10|-14/5 ),-0.90000,-2.80000, -2.04427, -8.52411,  709,        1,
( 13/10|  5/2 ), 1.30000, 2.50000,  2.95284,  8.26183,  710,        1,
(-13/10| 19/5 ),-1.30000, 3.80000, -2.95284,  8.26183,  710,        1,
( 19/5 | -5/2 ), 3.80000,-2.50000,  8.63137, -1.57368,  710,        1,
(  5/2 |-19/5 ), 2.50000,-3.80000,  5.67853, -6.68815,  710,        1,
(-19/5 | 13/10),-3.80000, 1.30000, -8.63137, -1.57368,  710,        1,
( -5/2 |-13/10),-2.50000,-1.30000, -5.67853, -6.68815,  710,        1,
(  5/2 | 13/10), 2.50000, 1.30000,  5.67853,  6.68815,  711,        1,
( 19/5 |-13/10), 3.80000,-1.30000,  8.63137,  1.57368,  711,        1,
( -5/2 | 19/5 ),-2.50000, 3.80000, -5.67853,  6.68815,  711,        1,
(-19/5 |  5/2 ),-3.80000, 2.50000, -8.63137,  1.57368,  711,        1,
( 13/10|-19/5 ), 1.30000,-3.80000,  2.95284, -8.26183,  711,        1,
(-13/10| -5/2 ),-1.30000,-2.50000, -2.95284, -8.26183,  711,        1,
(  1/10| 33/10), 0.10000, 3.30000,  0.22714,  8.78639,  712,        1,
( -1/10| 17/5 ),-0.10000, 3.40000, -0.22714,  8.78639,  712,        1,
( 17/5 |-33/10), 3.40000,-3.30000,  7.72281, -4.19648,  712,        1,
( 33/10|-17/5 ), 3.30000,-3.40000,  7.49567, -4.58991,  712,        1,
(-17/5 |  1/10),-3.40000, 0.10000, -7.72281, -4.19648,  712,        1,
(-33/10| -1/10),-3.30000,-0.10000, -7.49567, -4.58991,  712,        1,
( 33/10|  1/10), 3.30000, 0.10000,  7.49567,  4.58991,  713,        1,
( 17/5 | -1/10), 3.40000,-0.10000,  7.72281,  4.19648,  713,        1,
(-33/10| 17/5 ),-3.30000, 3.40000, -7.49567,  4.58991,  713,        1,
(-17/5 | 33/10),-3.40000, 3.30000, -7.72281,  4.19648,  713,        1,
(  1/10|-17/5 ), 0.10000,-3.40000,  0.22714, -8.78639,  713,        1,
( -1/10|-33/10),-0.10000,-3.30000, -0.22714, -8.78639,  713,        1,
(  3/10| 16/5 ), 0.30000, 3.20000,  0.68142,  8.78639,  714,        1,
( -3/10|  7/2 ),-0.30000, 3.50000, -0.68142,  8.78639,  714,        1,
(  7/2 |-16/5 ), 3.50000,-3.20000,  7.94995, -3.80306,  714,        1,
( 16/5 | -7/2 ), 3.20000,-3.50000,  7.26852, -4.98333,  714,        1,
( -7/2 |  3/10),-3.50000, 0.30000, -7.94995, -3.80306,  714,        1,
(-16/5 | -3/10),-3.20000,-0.30000, -7.26852, -4.98333,  714,        1,
( 16/5 |  3/10), 3.20000, 0.30000,  7.26852,  4.98333,  715,        1,
(  7/2 | -3/10), 3.50000,-0.30000,  7.94995,  3.80306,  715,        1,
(-16/5 |  7/2 ),-3.20000, 3.50000, -7.26852,  4.98333,  715,        1,
( -7/2 | 16/5 ),-3.50000, 3.20000, -7.94995,  3.80306,  715,        1,
(  3/10| -7/2 ), 0.30000,-3.50000,  0.68142, -8.78639,  715,        1,
( -3/10|-16/5 ),-0.30000,-3.20000, -0.68142, -8.78639,  715,        1,
(  6/5 | 13/5 ), 1.20000, 2.60000,  2.72570,  8.39297,  716,        1,
( -6/5 | 19/5 ),-1.20000, 3.80000, -2.72570,  8.39297,  716,        1,
( 19/5 |-13/5 ), 3.80000,-2.60000,  8.63137, -1.83596,  716,        1,
( 13/5 |-19/5 ), 2.60000,-3.80000,  5.90568, -6.55701,  716,        1,
(-19/5 |  6/5 ),-3.80000, 1.20000, -8.63137, -1.83596,  716,        1,
(-13/5 | -6/5 ),-2.60000,-1.20000, -5.90568, -6.55701,  716,        1,
( 13/5 |  6/5 ), 2.60000, 1.20000,  5.90568,  6.55701,  717,        1,
( 19/5 | -6/5 ), 3.80000,-1.20000,  8.63137,  1.83596,  717,        1,
(-13/5 | 19/5 ),-2.60000, 3.80000, -5.90568,  6.55701,  717,        1,
(-19/5 | 13/5 ),-3.80000, 2.60000, -8.63137,  1.83596,  717,        1,
(  6/5 |-19/5 ), 1.20000,-3.80000,  2.72570, -8.39297,  717,        1,
( -6/5 |-13/5 ),-1.20000,-2.60000, -2.72570, -8.39297,  717,        1,
(  4/5 | 29/10), 0.80000, 2.90000,  1.81713,  8.65525,  718,        1,
( -4/5 | 37/10),-0.80000, 3.70000, -1.81713,  8.65525,  718,        1,
( 37/10|-29/10), 3.70000,-2.90000,  8.40423, -2.75394,  718,        1,
( 29/10|-37/10), 2.90000,-3.70000,  6.58710, -5.90131,  718,        1,
(-37/10|  4/5 ),-3.70000, 0.80000, -8.40423, -2.75394,  718,        1,
(-29/10| -4/5 ),-2.90000,-0.80000, -6.58710, -5.90131,  718,        1,
( 29/10|  4/5 ), 2.90000, 0.80000,  6.58710,  5.90131,  719,        1,
( 37/10| -4/5 ), 3.70000,-0.80000,  8.40423,  2.75394,  719,        1,
(-29/10| 37/10),-2.90000, 3.70000, -6.58710,  5.90131,  719,        1,
(-37/10| 29/10),-3.70000, 2.90000, -8.40423,  2.75394,  719,        1,
(  4/5 |-37/10), 0.80000,-3.70000,  1.81713, -8.65525,  719,        1,
( -4/5 |-29/10),-0.80000,-2.90000, -1.81713, -8.65525,  719,        1,
( 19/10|  2   ), 1.90000, 2.00000,  4.31569,  7.73727,  720,        1,
(-19/10| 39/10),-1.90000, 3.90000, -4.31569,  7.73727,  720,        1,
( 39/10| -2   ), 3.90000,-2.00000,  8.85851, -0.13114,  720,        1,
(  2   |-39/10), 2.00000,-3.90000,  4.54283, -7.60613,  720,        1,
(-39/10| 19/10),-3.90000, 1.90000, -8.85851, -0.13114,  720,        1,
( -2   |-19/10),-2.00000,-1.90000, -4.54283, -7.60613,  720,        1,
(  2   | 19/10), 2.00000, 1.90000,  4.54283,  7.60613,  721,        1,
( 39/10|-19/10), 3.90000,-1.90000,  8.85851,  0.13114,  721,        1,
( -2   | 39/10),-2.00000, 3.90000, -4.54283,  7.60613,  721,        1,
(-39/10|  2   ),-3.90000, 2.00000, -8.85851,  0.13114,  721,        1,
( 19/10|-39/10), 1.90000,-3.90000,  4.31569, -7.73727,  721,        1,
(-19/10| -2   ),-1.90000,-2.00000, -4.31569, -7.73727,  721,        1,
(  1/2 | 31/10), 0.50000, 3.10000,  1.13571,  8.78639,  722,        1,
( -1/2 | 18/5 ),-0.50000, 3.60000, -1.13571,  8.78639,  722,        1,
( 18/5 |-31/10), 3.60000,-3.10000,  8.17709, -3.40964,  722,        1,
( 31/10|-18/5 ), 3.10000,-3.60000,  7.04138, -5.37675,  722,        1,
(-18/5 |  1/2 ),-3.60000, 0.50000, -8.17709, -3.40964,  722,        1,
(-31/10| -1/2 ),-3.10000,-0.50000, -7.04138, -5.37675,  722,        1,
( 31/10|  1/2 ), 3.10000, 0.50000,  7.04138,  5.37675,  723,        1,
( 18/5 | -1/2 ), 3.60000,-0.50000,  8.17709,  3.40964,  723,        1,
(-31/10| 18/5 ),-3.10000, 3.60000, -7.04138,  5.37675,  723,        1,
(-18/5 | 31/10),-3.60000, 3.10000, -8.17709,  3.40964,  723,        1,
(  1/2 |-18/5 ), 0.50000,-3.60000,  1.13571, -8.78639,  723,        1,
( -1/2 |-31/10),-0.50000,-3.10000, -1.13571, -8.78639,  723,        1,
(  9/5 | 21/10), 1.80000, 2.10000,  4.08855,  7.86841,  724,        1,
( -9/5 | 39/10),-1.80000, 3.90000, -4.08855,  7.86841,  724,        1,
( 39/10|-21/10), 3.90000,-2.10000,  8.85851, -0.39342,  724,        1,
( 21/10|-39/10), 2.10000,-3.90000,  4.76997, -7.47499,  724,        1,
(-39/10|  9/5 ),-3.90000, 1.80000, -8.85851, -0.39342,  724,        1,
(-21/10| -9/5 ),-2.10000,-1.80000, -4.76997, -7.47499,  724,        1,
( 21/10|  9/5 ), 2.10000, 1.80000,  4.76997,  7.47499,  725,        1,
( 39/10| -9/5 ), 3.90000,-1.80000,  8.85851,  0.39342,  725,        1,
(-21/10| 39/10),-2.10000, 3.90000, -4.76997,  7.47499,  725,        1,
(-39/10| 21/10),-3.90000, 2.10000, -8.85851,  0.39342,  725,        1,
(  9/5 |-39/10), 1.80000,-3.90000,  4.08855, -7.86841,  725,        1,
( -9/5 |-21/10),-1.80000,-2.10000, -4.08855, -7.86841,  725,        1,
( 17/10| 11/5 ), 1.70000, 2.20000,  3.86140,  7.99955,  726,        1,
(-17/10| 39/10),-1.70000, 3.90000, -3.86140,  7.99955,  726,        1,
( 39/10|-11/5 ), 3.90000,-2.20000,  8.85851, -0.65570,  726,        1,
( 11/5 |-39/10), 2.20000,-3.90000,  4.99711, -7.34385,  726,        1,
(-39/10| 17/10),-3.90000, 1.70000, -8.85851, -0.65570,  726,        1,
(-11/5 |-17/10),-2.20000,-1.70000, -4.99711, -7.34385,  726,        1,
( 11/5 | 17/10), 2.20000, 1.70000,  4.99711,  7.34385,  727,        1,
( 39/10|-17/10), 3.90000,-1.70000,  8.85851,  0.65570,  727,        1,
(-11/5 | 39/10),-2.20000, 3.90000, -4.99711,  7.34385,  727,        1,
(-39/10| 11/5 ),-3.90000, 2.20000, -8.85851,  0.65570,  727,        1,
( 17/10|-39/10), 1.70000,-3.90000,  3.86140, -7.99955,  727,        1,
(-17/10|-11/5 ),-1.70000,-2.20000, -3.86140, -7.99955,  727,        1,
( 11/10| 27/10), 1.10000, 2.70000,  2.49856,  8.52411,  728,        1,
(-11/10| 19/5 ),-1.10000, 3.80000, -2.49856,  8.52411,  728,        1,
( 19/5 |-27/10), 3.80000,-2.70000,  8.63137, -2.09824,  728,        1,
( 27/10|-19/5 ), 2.70000,-3.80000,  6.13282, -6.42587,  728,        1,
(-19/5 | 11/10),-3.80000, 1.10000, -8.63137, -2.09824,  728,        1,
(-27/10|-11/10),-2.70000,-1.10000, -6.13282, -6.42587,  728,        1,
( 27/10| 11/10), 2.70000, 1.10000,  6.13282,  6.42587,  729,        1,
( 19/5 |-11/10), 3.80000,-1.10000,  8.63137,  2.09824,  729,        1,
(-27/10| 19/5 ),-2.70000, 3.80000, -6.13282,  6.42587,  729,        1,
(-19/5 | 27/10),-3.80000, 2.70000, -8.63137,  2.09824,  729,        1,
( 11/10|-19/5 ), 1.10000,-3.80000,  2.49856, -8.52411,  729,        1,
(-11/10|-27/10),-1.10000,-2.70000, -2.49856, -8.52411,  729,        1,
(  8/5 | 23/10), 1.60000, 2.30000,  3.63426,  8.13069,  730,        1,
( -8/5 | 39/10),-1.60000, 3.90000, -3.63426,  8.13069,  730,        1,
( 39/10|-23/10), 3.90000,-2.30000,  8.85851, -0.91798,  730,        1,
( 23/10|-39/10), 2.30000,-3.90000,  5.22425, -7.21271,  730,        1,
(-39/10|  8/5 ),-3.90000, 1.60000, -8.85851, -0.91798,  730,        1,
(-23/10| -8/5 ),-2.30000,-1.60000, -5.22425, -7.21271,  730,        1,
( 23/10|  8/5 ), 2.30000, 1.60000,  5.22425,  7.21271,  731,        1,
( 39/10| -8/5 ), 3.90000,-1.60000,  8.85851,  0.91798,  731,        1,
(-23/10| 39/10),-2.30000, 3.90000, -5.22425,  7.21271,  731,        1,
(-39/10| 23/10),-3.90000, 2.30000, -8.85851,  0.91798,  731,        1,
(  8/5 |-39/10), 1.60000,-3.90000,  3.63426, -8.13069,  731,        1,
( -8/5 |-23/10),-1.60000,-2.30000, -3.63426, -8.13069,  731,        1,
(  0   | 17/5 ), 0.00000, 3.40000,  0.00000,  8.91753,  732,        1,
( 17/5 |-17/5 ), 3.40000,-3.40000,  7.72281, -4.45876,  732,        1,
(-17/5 |  0   ),-3.40000, 0.00000, -7.72281, -4.45876,  732,        1,
( 17/5 |  0   ), 3.40000, 0.00000,  7.72281,  4.45876,  733,        1,
(-17/5 | 17/5 ),-3.40000, 3.40000, -7.72281,  4.45876,  733,        1,
(  0   |-17/5 ), 0.00000,-3.40000,  0.00000, -8.91753,  733,        1,
(  7/10|  3   ), 0.70000, 3.00000,  1.58999,  8.78639,  734,        1,
( -7/10| 37/10),-0.70000, 3.70000, -1.58999,  8.78639,  734,        1,
( 37/10| -3   ), 3.70000,-3.00000,  8.40423, -3.01622,  734,        1,
(  3   |-37/10), 3.00000,-3.70000,  6.81424, -5.77017,  734,        1,
(-37/10|  7/10),-3.70000, 0.70000, -8.40423, -3.01622,  734,        1,
( -3   | -7/10),-3.00000,-0.70000, -6.81424, -5.77017,  734,        1,
(  3   |  7/10), 3.00000, 0.70000,  6.81424,  5.77017,  735,        1,
( 37/10| -7/10), 3.70000,-0.70000,  8.40423,  3.01622,  735,        1,
( -3   | 37/10),-3.00000, 3.70000, -6.81424,  5.77017,  735,        1,
(-37/10|  3   ),-3.70000, 3.00000, -8.40423,  3.01622,  735,        1,
(  7/10|-37/10), 0.70000,-3.70000,  1.58999, -8.78639,  735,        1,
( -7/10| -3   ),-0.70000,-3.00000, -1.58999, -8.78639,  735,        1,
(  1/5 | 33/10), 0.20000, 3.30000,  0.45428,  8.91753,  736,        1,
